FID_,ALIVE,READER1,READER2,NOTES,DEAD,READERTIME,DRY,DATE,PIT,GPSTIME,TIME,PITNUM,Easting,Northing
,0,0,0, ,0,0,0,, ,0,0, ,583203.310823000040000,4089937.576290000200000
,0,0,0, ,0,0,0,, ,0,0, ,583203.799812000010000,4089945.889119999900000
,0,0,1, ,0,0,0,,854859888,0,0, ,568773.025920000040000,4100108.341709999800000
,0,0,1, 532676 dead,0,0,0,,0,0,0, ,568766.094848999990000,4100140.459170000200000
,0,0,1,648695 dead,0,0,0,,0,955,0, ,568762.412159999950000,4100137.655619999900000
,0,1,0,648503 d,0,0,0,,0,957,0, ,568762.554356000040000,4100138.396400000000000
,0,0,1,081495 d,0,0,0,,0,958,0, ,568757.376030000040000,4100137.244860000000000
,0,0,0,086969 d,0,0,0,,0,1000,0, ,568756.073097000010000,4100151.657010000200000
,0,0,1,104883 d,0,0,0,,0,1000,0, ,568761.771202999980000,4100143.567429999800000
,0,1,1,568047 d,0,0,0,,0,1002,0, ,568750.595353999990000,4100150.872849999900000
,0,1,1,539163 d,0,0,0,,0,1003,0, ,568754.360112000020000,4100161.812969999900000
,0,0,1,688578 d,0,0,0,,0,1004,0, ,568745.627782000000000,4100160.262730000100000
,0,1,0,647847 d,0,0,0,,0,1005,0, ,568751.243206999960000,4100162.342350000000000
,0,0,1,541136 d,0,0,0,,0,1006,0, ,568749.003533000010000,4100164.358120000000000
,0,1,0,533216 d,0,0,0,,0,1006,0, ,568752.849459000050000,4100165.313920000100000
,0,0,1,569479 d,0,0,0,,0,1006,0, ,568743.683027000050000,4100162.465799999900000
,0,1,0,688531 d,0,0,0,,0,1007,0, ,568746.304199000010000,4100168.219229999900000
,0,0,1,113063 d,0,0,0,,0,1008,0, ,568745.111009999990000,4100169.134060000100000
,0,0,1,102277 d,0,0,0,,0,1009,0, ,568744.811587000030000,4100169.501439999800000
,0,1,0,083872 d,0,0,0,,0,1009,0, ,568748.368606999980000,4100169.530360000200000
,0,0,1,541948 d,0,0,0,,0,1010,0, ,568742.152835999960000,4100168.370389999800000
,0,0,1,568685 d,0,0,0,,0,1011,0, ,568743.878746000000000,4100174.856160000000000
,0,0,1,645173 d,0,0,0,,0,1012,0, ,568745.604646999970000,4100181.341940000200000
