up
Upload #22
Reader: Backpack reader 2  Site: AA
--------- upload 22 start ---------
E 2015-11-02 15:04:08.64 upload 21 complete
E 2015-11-16 07:48:42.53 supply power ok 18.9V
E 2015-11-16 07:48:42.53 database file opened
E 2015-11-16 07:48:42.53 starting reader after power up
E 2015-11-16 07:56:00.00 date/time changed. Was 2015-11-16 07:54:18.74
E 2015-11-16 08:14:36.15 supply power ok 18.9V
E 2015-11-16 08:14:36.15 database file opened
E 2015-11-16 08:14:36.15 starting reader after power up
D 2015-11-16 08:14:57.43 00:00:00.10 HR 0000_0000000178692568    2   215
D 2015-11-16 08:14:58.64 00:00:00.10 HR 0000_0000000178692568    2    10
D 2015-11-16 08:15:04.98 00:00:00.21 HR 0000_0000000178692568    3    61
D 2015-11-16 08:15:05.39 00:00:00.40 HR 0000_0000000178692568    5     1
D 2015-11-16 08:15:05.09 00:00:00.00 HR 0000_0000000178692568    1     2
D 2015-11-16 08:15:07.79 00:00:00.00 HR 0000_0000000178692568    1     6
D 2015-11-16 08:15:07.00 00:00:00.70 HR 0000_0000000178692568    8     1
D 2015-11-16 08:15:08.61 00:00:00.50 HR 0000_0000000178692568    6     8
D 2015-11-16 08:16:01.10 00:00:00.90 HR 0000_0000000178692567   10   514
D 2015-11-16 08:16:02.80 00:00:01.42 HR 0000_0000000178692567   15     7
D 2015-11-16 08:16:14.88 00:00:00.70 HR 0000_0000000178692567    8   105
D 2015-11-16 08:16:15.98 23:59:59.21 HR 0000_0000000178692567    3     3
D 2015-11-16 08:16:16.49 00:00:00.20 HR 0000_0000000178692567    3     2
D 2015-11-16 08:16:16.10 00:00:02.30 HR 0000_0000000178692567   14     3
D 2015-11-16 08:16:18.60 00:00:02.22 HR 0000_0000000178692567   23     1
D 2015-11-16 08:16:20.02 00:00:00.00 HR 0000_0000000178692567    1     1
E 2015-11-16 09:39:31.45 supply power ok 18.9V
E 2015-11-16 09:39:31.45 database file opened
E 2015-11-16 09:39:31.45 starting reader after power up
D 2015-11-16 09:39:38.88 00:00:00.10 HR 0000_0000000178692567    2    78
D 2015-11-16 09:39:39.19 00:00:00.10 HR 0000_0000000178692567    2     1
D 2015-11-16 09:39:40.49 00:00:00.00 HR 0000_0000000178692567    1    11
D 2015-11-16 09:39:40.69 00:00:01.21 HR 0000_0000000178692567   13     1
E 2015-11-16 09:39:55.40 datalogger mode selected
D 2015-11-16 09:39:59.26 00:00:00.10 HR 0000_0000000178692567    2   171
D 2015-11-16 09:39:59.56 00:00:00.00 HR 0000_0000000178692567    1     1
D 2015-11-16 09:39:59.86 00:00:00.31 HR 0000_0000000178692567    4     2
D 2015-11-16 09:40:00.37 00:00:00.00 HR 0000_0000000178692567    1     1
D 2015-11-16 09:40:00.57 00:00:00.10 HR 0000_0000000178692567    2     1
D 2015-11-16 09:40:00.68 00:00:00.00 HR 0000_0000000178692567    1     9
D 2015-11-16 09:40:00.88 23:59:59.40 HR 0000_0000000178692567    5     1
D 2015-11-16 09:42:53.27 00:00:00.10 HR 0000_0000000178692567    2  1698
D 2015-11-16 09:44:10.98 00:00:01.90 HA      900_226000101488   20   770
D 2015-11-16 09:44:14.41 00:00:00.70 HA      900_226000101488    8    14
D 2015-11-16 09:44:54.86 00:00:00.41 HA      900_226000101488    5   394
D 2015-11-16 09:44:55.97 00:00:00.40 HA      900_226000101488    5     6
D 2015-11-16 09:52:38.20 00:00:01.71 HA      900_226000532676   18  4588
D 2015-11-16 09:52:42.13 00:00:01.41 HA      900_226000532676   15    21
D 2015-11-16 09:52:52.90 00:00:01.11 HA      900_226000532676   12    92
D 2015-11-16 09:53:06.18 00:00:00.40 HA      900_226000532676    5   120
D 2015-11-16 09:53:06.98 23:59:59.11 HA      900_226000532676    2     3
D 2015-11-16 09:53:07.49 00:00:00.00 HA      900_226000532676    1     3
D 2015-11-16 09:53:07.89 23:59:59.11 HA      900_226000532676    2     3
D 2015-11-16 09:53:07.30 00:00:00.20 HA      900_226000532676    3     2
D 2015-11-16 09:53:09.70 00:00:00.11 HA      900_226000532676    2     1
D 2015-11-16 09:53:09.01 00:00:00.10 HA      900_226000532676    2     1
D 2015-11-16 09:53:14.44 00:00:00.71 HA      900_226000532676    8    52
D 2015-11-16 09:53:15.75 00:00:00.61 HA      900_226000532676    7     5
D 2015-11-16 09:53:32.77 00:00:01.31 HA      900_226000648695   14   162
D 2015-11-16 09:55:25.69 00:00:03.02 HA      900_226000648695   31  1108
D 2015-11-16 09:58:17.69 00:00:01.61 HA      900_226000081495   17  1678
D 2015-11-16 09:58:21.43 00:00:01.00 HA      900_226000081495   11    20
D 2015-11-16 09:58:49.10 00:00:01.00 HA      900_226000081495   11   264
D 2015-11-16 10:00:05.46 00:00:00.30 HA      900_226000104883    4   748
D 2015-11-16 10:00:05.07 00:00:00.30 HA      900_226000104883    4     2
D 2015-11-16 10:00:06.67 00:00:00.41 HA      900_226000104883    5     2
D 2015-11-16 10:00:07.48 00:00:00.99 HA      900_226000086969   11     3
D 2015-11-16 10:00:08.08 00:00:01.10 HA      900_226000104883    2     5
D 2015-11-16 10:00:09.58 00:00:01.21 HA      900_226000104883   13     3
D 2015-11-16 10:00:13.01 00:00:01.11 HA      900_226000086969   12    21
D 2015-11-16 10:00:41.78 00:00:01.01 HA      900_226000104883   11   274
D 2015-11-16 10:00:42.19 00:00:05.13 HA      900_226000104883   42     3
D 2015-11-16 10:01:43.47 00:00:00.71 HA      900_226000568047    8   557
D 2015-11-16 10:01:55.15 00:00:01.12 HA      900_226000568047   12   108
D 2015-11-16 10:02:44.12 00:00:01.91 HA      900_226000539163   20   474
D 2015-11-16 10:02:47.14 00:00:00.80 HA      900_226000539163    9    10
D 2015-11-16 10:02:50.86 00:00:00.30 HA      900_226000539163    4    28
D 2015-11-16 10:02:51.36 00:00:00.10 HA      900_226000539163    2     1
D 2015-11-16 10:03:28.43 00:00:00.50 HA      900_226000539163    6   366
D 2015-11-16 10:04:35.26 00:00:00.60 HA      900_226000688578    7   658
D 2015-11-16 10:04:38.08 00:00:00.40 HA      900_226000688578    5    21
D 2015-11-16 10:04:38.68 00:00:00.61 HA      900_226000688578    7     1
D 2015-11-16 10:04:39.59 00:00:00.20 HA      900_226000688578    3     2
D 2015-11-16 10:05:53.41 00:00:01.52 HA      900_226000541136   16   730
D 2015-11-16 10:05:59.76 00:00:01.31 HA      900_226000541136   14    47
D 2015-11-16 10:06:04.00 00:00:00.40 HA      900_226000541136    5    28
D 2015-11-16 10:06:29.47 00:00:01.72 HA      900_226000569479   18   248
D 2015-11-16 10:06:32.40 00:00:00.71 HA      900_226000569479    8    11
D 2015-11-16 10:06:39.67 00:00:00.82 HA      900_226000569479    9    64
D 2015-11-16 10:06:40.00 00:00:02.60 HA      900_226000569479   17     4
D 2015-11-16 10:06:44.32 00:00:01.00 HA      900_226000569479   11    16
D 2015-11-16 10:06:45.52 00:00:00.91 HA      900_226000569479   10     1
D 2015-11-16 10:07:07.97 00:00:01.52 HA      900_226000569479   16   213
D 2015-11-16 10:07:19.35 00:00:00.00 HA      900_226000569479    1    97
D 2015-11-16 10:07:19.64 00:00:00.11 HA      900_226000569479    2     2
D 2015-11-16 10:07:19.95 00:00:01.42 HA      900_226000569479   15     1
D 2015-11-16 10:07:47.68 00:00:01.10 HA      900_226000113063   12   260
D 2015-11-16 10:07:51.60 00:00:00.90 HA      900_226000113063   10    27
D 2015-11-16 10:08:02.27 00:00:00.20 HA      900_226000113063    3    96
D 2015-11-16 10:08:02.67 00:00:00.70 HA      900_226000113063    8     1
D 2015-11-16 10:08:45.23 00:00:00.81 HA      900_226000102277    9   415
D 2015-11-16 10:08:47.84 00:00:01.32 HA      900_226000102277   14    17
D 2015-11-16 10:09:37.60 00:00:00.42 HA      900_226000541948    5   480
D 2015-11-16 10:09:38.92 00:00:00.71 HA      900_226000541948    8     8
D 2015-11-16 10:09:41.14 00:00:01.11 HA      900_226000541948   12    14
D 2015-11-16 10:09:42.65 00:00:00.60 HA      900_226000541948    7     3
D 2015-11-16 10:09:46.47 00:00:00.61 HA      900_226000541948    7    31
D 2015-11-16 10:09:47.68 00:00:00.00 HA      900_226000541948    1     5
D 2015-11-16 10:09:53.81 00:00:04.74 HA      900_226000541948   48    60
D 2015-11-16 10:10:56.60 00:00:01.21 HA      900_226000568685   13   576
D 2015-11-16 10:11:03.34 00:00:01.30 HA      900_226000568685   14    54
D 2015-11-16 10:12:26.75 00:00:00.51 HA      900_226000645173    6   815
D 2015-11-16 10:12:27.86 00:00:00.71 HA      900_226000645173    8     5
D 2015-11-16 10:12:49.99 00:00:00.00 HA      900_226000094844    1   212
D 2015-11-16 10:12:50.29 00:00:00.91 HA      900_226000094844   10     2
D 2015-11-16 10:13:05.09 00:00:00.70 HA      900_226000094844    8   137
D 2015-11-16 10:13:08.11 00:00:00.30 HA      900_226000094844    4    22
D 2015-11-16 10:13:08.71 23:59:59.30 HA      900_226000094844    4     2
D 2015-11-16 10:13:09.21 00:00:00.20 HA      900_226000094844    3     1
D 2015-11-16 10:13:09.61 00:00:00.00 HA      900_226000094844    1     1
D 2015-11-16 10:13:09.03 00:00:00.00 HA      900_226000094844    1     3
D 2015-11-16 10:15:46.82 00:00:00.93 HA      900_226000690365   10  1544
D 2015-11-16 10:15:56.70 00:00:00.20 HA      900_226000690365    3    87
D 2015-11-16 10:16:57.96 00:00:00.11 HA      900_226000689470    2   600
D 2015-11-16 10:16:59.19 00:00:00.41 HA      900_226000689470    5    10
D 2015-11-16 10:17:17.49 00:00:00.00 HA      900_226000683897    1   175
D 2015-11-16 10:17:18.42 00:00:00.10 HA      900_226000689470    2     8
D 2015-11-16 10:22:05.83 00:00:01.21 HA      900_226000648727   13  2848
D 2015-11-16 10:22:09.45 00:00:01.31 HA      900_226000648727   14    23
D 2015-11-16 10:22:43.95 00:00:01.62 HA      900_226000648727   17   328
D 2015-11-16 10:23:30.62 00:00:00.20 HA      900_226000648727    3   446
D 2015-11-16 10:23:30.12 00:00:00.20 HA      900_226000648727    3     2
D 2015-11-16 10:23:32.82 23:59:59.21 HA      900_226000648727    3     4
D 2015-11-16 10:24:01.16 00:00:01.50 HA      900_226000648727   16   288
D 2015-11-16 10:24:02.96 00:00:00.00 HA      900_226000648727    1     2
D 2015-11-16 10:24:02.17 00:00:02.01 HA      900_226000648727   11     1
D 2015-11-16 10:24:04.38 00:00:00.10 HA      900_226000648727    2     1
D 2015-11-16 10:24:04.68 23:59:59.60 HA      900_226000648727    7     1
D 2015-11-16 10:27:52.31 00:00:00.00 HR 0000_0000000178692567    1  2241
D 2015-11-16 10:27:52.52 00:00:00.91 HR 0000_0000000178692567   10     1
D 2015-11-16 10:28:59.79 00:00:00.42 HR 0000_0000000178692567    5   652
D 2015-11-16 10:29:00.62 00:00:00.30 HR 0000_0000000178692567    4     3
D 2015-11-16 10:31:11.69 00:00:00.00 HA      900_226000569213    1  1294
D 2015-11-16 10:31:14.51 00:00:00.00 HA      900_226000541493    1    27
D 2015-11-16 10:31:14.71 23:59:59.41 HA      900_226000569213    5     1
D 2015-11-16 10:31:16.32 00:00:00.10 HA      900_226000569213    2    11
D 2015-11-16 10:31:16.72 00:00:00.00 HA      900_226000569213    1     2
D 2015-11-16 10:31:17.23 00:00:00.50 HA      900_226000569213    6     4
D 2015-11-16 10:31:19.74 00:00:00.31 HA      900_226000569213    4    19
D 2015-11-16 10:31:20.25 00:00:00.10 HA      900_226000541493    2     1
D 2015-11-16 10:33:23.50 00:00:00.00 HA      900_226000569213    1  1223
D 2015-11-16 10:33:24.40 00:00:00.00 HA      900_226000569213    1     8
D 2015-11-16 10:33:25.10 00:00:00.00 HA      900_226000569213    1     6
D 2015-11-16 10:33:25.50 00:00:00.00 HA      900_226000569213    1     3
D 2015-11-16 10:33:25.01 00:00:00.00 HA      900_226000569213    1     4
D 2015-11-16 10:33:26.41 00:00:00.00 HA      900_226000569213    1     3
D 2015-11-16 10:33:27.21 00:00:00.00 HA      900_226000569213    1     7
D 2015-11-16 10:33:31.34 00:00:00.00 HA      900_226000569213    1    40
D 2015-11-16 10:33:32.85 00:00:00.00 HA      900_226000569213    1    14
D 2015-11-16 10:33:36.47 00:00:00.00 HA      900_226000569213    1    35
