up
Upload #23
Reader: Backpack reader 2  Site: AA
--------- upload 23 start ---------
E 2015-11-17 15:26:14.63 upload 22 complete
E 2015-11-18 09:01:17.69 supply power ok 19.0V
E 2015-11-18 09:01:17.69 database file opened
E 2015-11-18 09:01:17.69 starting reader after power up
E 2015-11-18 09:01:21.46 datalogger mode selected
D 2015-11-18 09:01:24.22 00:00:00.41 HR 0000_0000000178692567    5    69
D 2015-11-18 09:01:24.83 00:00:00.00 HR 0000_0000000178692567    1     1
D 2015-11-18 09:01:25.86 00:00:00.62 HR 0000_0000000178692567    7     9
D 2015-11-18 09:01:30.33 00:00:00.61 HR 0000_0000000178692567    7    37
E 2015-11-18 09:18:13.84 supply power ok 19.0V
E 2015-11-18 09:18:13.84 database file opened
E 2015-11-18 09:18:13.84 starting reader after power up
D 2015-11-18 09:18:42.39 00:00:00.40 HR 0000_0000000178692567    5   288
D 2015-11-18 09:18:42.99 23:59:59.20 HR 0000_0000000178692567    3     1
D 2015-11-18 09:19:29.65 00:00:01.82 HA      900_226000684612   19   459
D 2015-11-18 09:19:31.87 00:00:00.00 HA      900_226000684612    1     3
D 2015-11-18 09:19:33.38 00:00:00.50 HA      900_226000538437    6    14
D 2015-11-18 09:19:37.41 00:00:01.72 HA      900_226000684612   18    34
D 2015-11-18 09:19:50.37 00:00:00.40 HA      900_226000684612    5   110
D 2015-11-18 09:19:51.56 00:00:00.31 HA      900_226000684612    4     7
D 2015-11-18 09:21:18.03 00:00:00.20 HA      900_226000541496    3   855
D 2015-11-18 09:21:19.33 00:00:00.50 HA      900_226000541496    6    10
D 2015-11-18 09:21:31.21 00:00:00.00 HA      900_226000541496    1   112
D 2015-11-18 09:21:40.28 00:00:00.30 HA      900_226000083298    4    89
D 2015-11-18 09:21:41.98 00:00:00.51 HA      900_226000083298    6    13
D 2015-11-18 09:21:59.79 00:00:00.00 HA      900_226000568827    1   171
D 2015-11-18 09:22:01.21 00:00:01.20 HA      900_226000568827   13    13
D 2015-11-18 09:22:30.99 00:00:00.00 HA      900_226000540241    1   283
D 2015-11-18 09:22:31.19 00:00:00.00 HA      900_226000104871    1     1
D 2015-11-18 09:22:31.39 00:00:00.10 HA      900_226000104871    2     1
D 2015-11-18 09:22:31.40 00:00:00.10 HA      900_226000104871    2     8
D 2015-11-18 09:22:31.70 00:00:00.20 HA      900_226000104871    3     1
D 2015-11-18 09:22:33.21 00:00:00.30 HA      900_226000540241    4     2
D 2015-11-18 09:22:34.71 00:00:00.61 HA      900_226000540241    7    11
D 2015-11-18 09:22:35.52 00:00:00.10 HA      900_226000104871    2     1
D 2015-11-18 09:22:35.92 00:00:00.41 HA      900_226000104871    5     2
D 2015-11-18 09:22:36.63 00:00:00.10 HA      900_226000104871    2     2
D 2015-11-18 09:22:36.93 23:59:59.20 HA      900_226000540241    3     1
D 2015-11-18 09:22:51.63 00:00:00.41 HA      900_226000540241    5   143
D 2015-11-18 09:22:52.24 00:00:00.20 HA      900_226000104871    3     1
D 2015-11-18 09:22:52.84 23:59:59.29 HA      900_226000104871    4     3
D 2015-11-18 09:22:53.43 00:00:00.30 HA      900_226000104871    4     2
D 2015-11-18 09:23:30.92 00:00:00.20 HA      900_226000648077    3   368
D 2015-11-18 09:23:32.33 00:00:00.20 HA      900_226000648077    3    11
